artistName,segment
Julian Casablancas,Previously Active Listeners
Natalie Perez,Light listeners
Knxwledge,Previously Active Listeners
Atu,Previously Active Listeners
Edelmiro Molinari,Previously Active Listeners
serpentwithfeet,Previously Active Listeners
Samant,Previously Active Listeners
Liv.e,Previously Active Listeners
John Legend,Light listeners
Malice,Previously Active Listeners
Carminho,Previously Active Listeners
Dancing Mood,Previously Active Listeners
Lil Yachty,Previously Active Listeners
Kodak Black,Previously Active Listeners
DJ Creole Princess,Moderate listeners
Muerdo,Light listeners
Cookin Soul,Previously Active Listeners
Rihanna,Previously Active Listeners
The Notorious B.I.G.,Previously Active Listeners
H de Perra,Previously Active Listeners
YGTUT,Previously Active Listeners
The Last Shadow Puppets,Previously Active Listeners
Christina Aguilera,Previously Active Listeners
Paul Groucho Smykle,Previously Active Listeners
Baby Kia,Previously Active Listeners
Lil Wayne,Moderate listeners
Freddie Gibbs,Super Listeners
Tokischa,Previously Active Listeners
Merges,Previously Active Listeners
Amaarae,Previously Active Listeners
Akapellah,Previously Active Listeners
Mariah Carey,Previously Active Listeners
Pescado Rabioso,Moderate listeners
Travis Porter,Previously Active Listeners
YG,Previously Active Listeners
Los Pleneros de la Cresta,Previously Active Listeners
Teebs,Previously Active Listeners
Portal Sessions,Previously Active Listeners
"Tyler, The Creator",Light listeners
Rory,Previously Active Listeners
ScHoolboy Q,Previously Active Listeners
Stove God Cooks,Light listeners
Junglepussy,Previously Active Listeners
Ye,Moderate listeners
The Alchemist,Super Listeners
Rae Khalil,Previously Active Listeners
CLUB HATS,Previously Active Listeners
Trueno,Previously Active Listeners
El Michels Affair,Previously Active Listeners
Robyn,Previously Active Listeners
Silk Sonic,Previously Active Listeners
Lou Val,Previously Active Listeners
Ibrahim Ferrer,Previously Active Listeners
Dody 6,Previously Active Listeners
Topaz Jones,Previously Active Listeners
Chronixx,Previously Active Listeners
Curren$y,Light listeners
Method Man,Previously Active Listeners
Frane,Previously Active Listeners
Sam Dew,Previously Active Listeners
Skip Marley,Previously Active Listeners
Son Lux,Previously Active Listeners
Yung Bleu,Previously Active Listeners
Juan Echanove,Light listeners
Raul Carnota Trio,Previously Active Listeners
Sidonie,Light listeners
Luis Fonsi,Previously Active Listeners
El Doctor,Previously Active Listeners
Ari PenSmith,Previously Active Listeners
Baby Keem,Previously Active Listeners
Swae Lee,Previously Active Listeners
Arctic Monkeys,Previously Active Listeners
Cleo Sol,Previously Active Listeners
Don Toliver,Previously Active Listeners
Lulo,Previously Active Listeners
Spinetta Y Los Socios Del Desierto,Previously Active Listeners
CA7RIEL & Paco Amoroso,Previously Active Listeners
J Dilla,Super Listeners
Omar Mollo,Previously Active Listeners
N.E.R.D,Previously Active Listeners
Antonio Flores,Light listeners
Brent Faiyaz,Super Listeners
Del The Funky Homosapien,Previously Active Listeners
Jorja Smith,Previously Active Listeners
Carpenters,Previously Active Listeners
CA7RIEL,Previously Active Listeners
Metro Boomin,Previously Active Listeners
José Luis Perales,Previously Active Listeners
Víctor Manuel,Light listeners
Clúster,Previously Active Listeners
T&K,Previously Active Listeners
9th Wonder,Previously Active Listeners
Tina Weymouth,Previously Active Listeners
Mach-Hommy,Previously Active Listeners
Quavo,Previously Active Listeners
Isaiah Rashad,Previously Active Listeners
Busta Rhymes,Super Listeners
Tiera Kennedy,Previously Active Listeners
Ramona Galarza,Previously Active Listeners
DJ Wilton,Previously Active Listeners
Reyna Roberts,Previously Active Listeners
Clipse,Super Listeners
Faenna,Previously Active Listeners
Sampha,Previously Active Listeners
Maeta,Previously Active Listeners
Jay Worthy,Previously Active Listeners
Action Bronson,Previously Active Listeners
Morad,Previously Active Listeners
Syd Barrett,Previously Active Listeners
Jorge Drexler,Previously Active Listeners
Dave Chappelle,Previously Active Listeners
Brittney Spencer,Previously Active Listeners
Mc Daleste,Previously Active Listeners
Westside Gunn,Moderate listeners
Lucy Rose,Previously Active Listeners
Blxst,Previously Active Listeners
IDK,Previously Active Listeners
Jimi Hendrix,Previously Active Listeners
Chuwi,Previously Active Listeners
Tems,Previously Active Listeners
Dizz1,Previously Active Listeners
JENNIE,Previously Active Listeners
50 Cent,Previously Active Listeners
Jessie Reyez,Previously Active Listeners
Joey Bada$$,Previously Active Listeners
Louk,Previously Active Listeners
Gorillaz,Previously Active Listeners
Lil Nas X,Previously Active Listeners
Pink Floyd,Moderate listeners
Thundercat,Previously Active Listeners
Led Zeppelin,Previously Active Listeners
Dellalowla,Previously Active Listeners
Kamada,Previously Active Listeners
Romany Gilmour,Previously Active Listeners
Hermetica,Previously Active Listeners
Oney1,Previously Active Listeners
Khruangbin,Previously Active Listeners
Ovi,Previously Active Listeners
Charlie Wilson,Previously Active Listeners
